entry_datetime,exit_datetime,action,entry_price,exit_price,profit,bar_len,size,cash,portfolio_value
2024-09-26 01:45:00,2024-09-26 04:15:00,BUY SIDE,63644.36,63803.02,123.56999999999971,10,0,101395.64000000001,101395.64000000001
2024-09-26 05:15:00,2024-09-26 05:30:00,BUY SIDE,63632.5,63808.19,257.1200000000026,1,0,101652.76000000001,101652.76000000001
2024-09-26 06:00:00,2024-09-26 06:15:00,BUY SIDE,63790.31,64202.17,145.6800000000003,1,0,101798.44,101798.44
2024-09-26 06:45:00,2024-09-26 07:15:00,BUY SIDE,64364.48,64328.45,19.159999999996217,2,0,101817.6,101817.6
2024-09-26 07:30:00,2024-09-26 08:00:00,BUY SIDE,64329.36,64414.46,57.54000000000087,2,0,101875.14000000001,101875.14000000001
2024-09-26 08:30:00,2024-09-26 08:45:00,BUY SIDE,64528.36,64482.57,79.62999999999738,1,0,101954.77000000002,101954.77000000002
2024-09-26 09:00:00,2024-09-26 09:45:00,BUY SIDE,64482.74,64450.31,-143.43999999999505,3,0,101811.33000000002,101811.33000000002
2024-09-26 10:00:00,2024-09-26 10:15:00,BUY SIDE,64450.57,64703.5,382.8000000000029,1,0,102194.13000000002,102194.13000000002
2024-09-26 10:45:00,2024-09-26 12:00:00,BUY SIDE,64759.66,65312.3,479.73999999999796,5,0,102673.87000000002,102673.87000000002
2024-09-26 12:15:00,2024-09-26 12:30:00,BUY SIDE,65427.0,65447.1,46.19000000000233,1,0,102720.06000000003,102720.06000000003
2024-09-26 13:45:00,2024-09-26 14:00:00,BUY SIDE,65231.2,65275.69,-63.729999999995925,1,0,102656.33000000003,102656.33000000003
2024-09-26 14:15:00,2024-09-26 14:30:00,BUY SIDE,65275.69,65073.55,-19.69000000000233,1,0,102636.64000000003,102636.64000000003
2024-09-26 14:45:00,2024-09-26 15:30:00,BUY SIDE,65066.73,65116.88,88.73999999999796,3,0,102725.38000000003,102725.38000000003
2024-09-26 15:45:00,2024-09-26 16:00:00,BUY SIDE,65114.75,64726.0,-391.9800000000032,1,0,102333.40000000002,102333.40000000002
2024-09-26 18:00:00,2024-09-26 18:15:00,BUY SIDE,65058.93,64984.4,91.62999999999738,1,0,102425.03000000003,102425.03000000003
